time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
250,0.0,0.0,33.0,18.127,28.187,0.0,0,5,0,0,0,0,0,0,0,CRUISING
260,21.223,0.708,11.777,17.503,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
270,21.589,0.046,11.411,13.981,30.2,0.0,0,6,4,2,3,1,3,1,0,CLEARING_PATH
280,19.294,-0.292,13.706,13.526,31.207,0.0,0,6,4,1,3,1,3,1,0,CLEARING_PATH
290,15.299,-0.399,17.701,12.987,32.214,0.0,0,6,4,0,3,1,3,1,0,CLEARING_PATH
300,12.387,-0.29,20.613,12.81,32.214,0.0,0,6,3,0,4,1,2,0,0,CLEARING_PATH
310,10.048,-0.221,22.952,11.402,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
320,10.784,0.089,22.216,12.02,34.227,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
330,14.093,0.321,18.907,12.049,35.234,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
340,17.55,0.34,15.45,12.028,35.234,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
350,20.792,0.323,12.208,12.664,35.234,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
360,20.113,-0.19,12.887,12.361,37.247,0.0,0,8,1,0,5,0,1,0,0,CLEARING_PATH
370,19.333,-0.014,13.667,13.542,38.254,0.0,0,8,0,0,5,0,0,0,0,CRUISING
380,21.907,0.252,11.093,14.453,39.26,0.0,0,8,0,0,5,0,0,0,0,CRUISING
390,24.714,0.272,8.286,15.024,40.267,0.0,0,8,0,0,5,0,0,0,0,CRUISING
400,27.043,0.228,5.957,16.042,41.274,0.0,0,9,0,0,5,0,0,0,0,CRUISING
410,28.811,0.175,4.189,16.072,43.287,0.0,0,9,0,0,5,0,0,0,0,CRUISING
420,30.156,0.133,2.844,15.764,43.287,0.0,0,9,0,0,5,0,0,0,0,CRUISING
430,31.187,0.102,1.813,15.719,45.3,0.0,0,10,0,0,5,0,0,0,0,CRUISING
440,31.871,0.066,1.129,15.429,46.307,0.0,0,10,0,0,5,0,0,0,0,CRUISING
450,32.018,0.004,0.982,15.21,46.307,0.0,0,10,0,0,5,0,0,0,0,CRUISING
460,30.548,-0.167,2.452,14.847,48.32,0.0,0,10,1,1,6,1,0,0,0,CLEARING_PATH
470,27.234,-0.31,5.766,13.957,49.327,0.0,0,10,1,0,6,0,1,0,0,CLEARING_PATH
480,27.364,0.04,5.636,12.684,50.334,0.0,0,10,1,0,6,0,1,0,0,CLEARING_PATH
490,29.015,0.144,3.985,11.586,50.334,0.0,0,10,1,0,6,0,1,1,0,CLEARING_PATH
500,27.766,-0.196,5.234,11.204,52.347,0.0,0,10,0,0,6,0,0,0,0,CRUISING
510,27.887,0.049,5.113,11.808,53.354,0.0,0,11,0,0,6,0,0,0,0,CRUISING
520,29.038,0.096,3.962,11.084,54.36,0.0,0,11,0,0,6,0,0,0,0,CRUISING
530,29.194,0.002,3.806,9.998,55.367,0.067,1,12,1,1,7,1,0,0,0,CLEARING_PATH
540,27.108,-0.246,5.892,9.906,55.367,0.15,1,12,1,0,7,0,1,0,0,CLEARING_PATH
550,23.204,-0.383,9.796,9.845,56.374,0.233,1,12,1,0,7,0,1,0,0,CLEARING_PATH
560,22.64,-0.023,10.36,10.129,59.394,0.317,1,12,1,0,7,0,1,0,0,CLEARING_PATH
570,24.919,0.21,8.081,10.356,59.394,0.4,1,12,1,0,7,0,1,1,0,CLEARING_PATH
580,26.377,0.074,6.623,10.535,60.4,0.483,1,12,1,0,7,0,1,1,0,CLEARING_PATH
590,24.037,-0.113,8.963,10.366,62.414,0.523,1,13,0,0,7,0,0,0,0,CRUISING
600,25.585,0.143,7.415,10.606,63.42,0.6,2,13,0,0,7,0,0,0,0,CRUISING
610,26.766,0.099,6.234,10.607,65.434,0.677,3,13,1,1,8,1,0,0,0,CLEARING_PATH
620,26.304,-0.062,6.696,10.69,66.441,0.754,5,13,2,0,8,0,2,0,0,CLEARING_PATH
630,23.683,-0.285,9.317,10.184,68.454,0.771,7,14,6,0,8,2,4,0,0,CLEARING_PATH
640,19.64,-0.402,13.36,10.321,68.454,0.843,8,14,6,0,8,2,4,0,0,CLEARING_PATH
650,15.191,-0.443,17.809,10.338,69.461,0.914,9,14,6,0,8,2,4,2,7,INTERSECTION_CONTROL
660,10.691,-0.449,22.309,9.92,70.467,0.0,9,15,6,0,8,2,4,4,17,INTERSECTION_CONTROL
670,6.259,-0.439,26.741,9.803,70.467,0.0,9,15,6,0,8,2,4,4,27,INTERSECTION_CONTROL
680,3.053,-0.301,29.947,10.337,71.474,0.0,9,14,4,0,8,1,3,3,37,INTERSECTION_CONTROL
690,1.931,-0.1,31.069,10.289,71.474,0.0,9,14,4,0,8,1,3,3,47,INTERSECTION_CONTROL
700,2.542,0.064,30.458,9.751,73.487,0.0,9,15,2,0,8,0,2,2,57,INTERSECTION_CONTROL
710,4.177,0.157,28.823,9.597,74.494,0.0,9,15,2,0,8,0,2,2,67,INTERSECTION_CONTROL
720,6.044,0.185,26.956,9.456,74.494,0.033,10,15,1,0,8,0,1,1,77,INTERSECTION_CONTROL
730,9.702,0.358,23.298,0.0,46.339,0.0,0,0,0,0,8,0,0,0,79,CRUISING
740,13.469,0.374,19.531,0.0,46.339,0.0,0,0,0,0,8,0,0,0,79,CRUISING
750,17.168,0.369,15.832,11.153,66.529,5.067,11,6,0,0,8,0,0,0,79,CRUISING
760,20.599,0.338,12.401,11.168,70.964,5.4,11,6,0,0,8,0,0,0,79,CRUISING
770,23.558,0.294,9.442,10.429,73.182,5.733,11,6,0,0,8,0,0,0,79,CRUISING
780,26.047,0.246,6.953,9.401,75.4,6.067,13,6,0,0,8,0,0,0,79,CRUISING
790,28.014,0.195,4.986,8.417,75.4,6.4,13,6,1,0,9,0,1,0,79,CLEARING_PATH
800,29.51,0.147,3.49,8.093,75.4,6.733,14,6,0,0,9,0,0,0,79,CRUISING
810,30.474,0.094,2.526,8.068,75.4,7.067,15,6,0,0,9,0,0,0,79,CRUISING
820,30.693,0.015,2.307,8.257,77.617,7.517,16,6,2,1,10,1,1,0,79,CLEARING_PATH
830,27.01,-0.37,5.99,8.431,77.617,8.017,17,6,3,1,12,1,2,1,79,CLEARING_PATH
840,22.081,-0.444,10.919,8.162,82.053,8.517,18,6,1,0,12,0,1,0,79,CLEARING_PATH
850,21.301,-0.041,11.699,7.238,82.053,9.017,18,6,1,0,12,0,1,1,79,CLEARING_PATH
860,23.454,0.192,9.546,6.084,86.488,9.517,18,6,0,0,12,0,0,0,79,CRUISING
870,25.073,0.148,7.927,5.094,86.488,10.017,18,6,0,0,12,0,0,0,79,CRUISING
880,25.374,0.018,7.626,4.137,90.923,9.014,18,7,0,0,12,0,0,0,79,CRUISING
890,24.087,-0.136,8.913,3.753,90.923,9.443,18,7,0,0,12,0,0,0,79,CRUISING
