time,ambulance_speed,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled
2000,0.0,19.138,20.133,0.0,0,3
2010,0.0,19.138,21.14,0.0,0,3
2020,0.0,19.138,21.14,0.0,0,3
2030,0.0,19.138,21.14,0.0,0,3
2040,0.0,19.137,21.14,0.0,0,3
2050,0.0,19.138,21.14,0.0,0,3
2060,0.0,19.139,21.14,0.0,0,3
2070,0.0,19.144,21.14,0.0,0,3
2080,0.0,19.15,21.14,0.0,0,3
2090,0.0,19.155,21.14,0.0,0,3
2100,0.0,19.156,21.14,0.0,0,3
2110,0.0,19.154,21.14,0.0,0,3
2120,0.0,19.154,21.14,0.0,0,3
2130,18.836,19.155,22.147,0.0,0,3
2140,18.631,19.155,22.147,0.0,0,3
2150,18.418,19.157,22.147,0.0,0,3
2160,18.206,17.911,23.154,0.0,0,4
2170,17.979,17.898,23.154,0.0,0,4
2180,17.729,17.89,23.154,0.0,0,4
2190,17.459,17.885,23.154,0.0,0,4
2200,17.171,17.941,24.16,0.0,0,5
2210,16.875,17.907,24.16,0.0,0,5
2220,16.587,17.886,24.16,0.0,0,5
2230,16.372,17.864,24.16,0.0,0,5
2240,16.188,17.838,25.167,0.0,0,5
2250,16.029,17.81,25.167,0.0,0,5
2260,15.89,17.802,25.167,0.0,0,5
2270,15.769,17.8,25.167,0.0,0,5
2280,15.691,17.798,25.167,0.0,0,5
2290,15.638,17.797,26.174,0.0,0,5
2300,15.603,17.794,26.174,0.0,0,5
2310,15.582,17.796,26.174,0.0,0,5
2320,15.58,17.805,26.174,0.0,0,5
2330,15.585,17.774,26.174,0.0,0,5
2340,15.601,17.597,28.187,0.0,0,5
2350,15.637,17.431,28.187,0.0,0,5
2360,15.69,17.282,28.187,0.0,0,5
2370,15.756,17.148,28.187,0.0,0,5
2380,15.816,17.025,28.187,0.0,0,5
2390,15.879,16.915,28.187,0.0,0,5
2400,15.953,16.816,28.187,0.0,0,5
2410,16.038,16.728,28.187,0.0,0,5
2420,16.133,16.654,28.187,0.0,0,5
2430,16.19,16.593,28.187,0.0,0,5
2440,16.23,16.543,28.187,0.0,0,5
2450,16.256,16.505,28.187,0.0,0,5
2460,16.281,16.476,28.187,0.0,0,5
2470,16.304,16.46,28.187,0.0,0,5
2480,16.316,16.454,28.187,0.0,0,5
2490,16.328,16.46,28.187,0.0,0,5
2500,16.337,16.474,29.194,0.0,0,5
2510,16.353,16.496,29.194,0.0,0,5
