time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
2500,0.0,0.0,33.0,16.298,27.18,0.0,0,5,0,0,0,0,0,0,0,CRUISING
2510,19.241,0.533,13.759,16.098,28.187,0.0,0,5,3,2,3,1,2,0,0,CLEARING_PATH
2520,19.503,0.081,13.497,15.839,28.187,0.0,0,5,3,2,3,1,2,0,0,CLEARING_PATH
2530,19.758,0.031,13.242,15.593,28.187,0.0,0,5,3,2,3,1,2,0,0,CLEARING_PATH
2540,20.003,0.025,12.997,15.36,28.187,0.0,0,5,3,2,3,1,2,0,0,CLEARING_PATH
2550,20.238,0.024,12.762,15.14,29.194,0.0,0,5,3,2,3,1,2,0,0,CLEARING_PATH
2560,20.43,0.019,12.57,14.932,29.194,0.0,0,5,3,2,3,1,2,0,0,CLEARING_PATH
2570,20.605,0.018,12.395,14.735,29.194,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2580,20.761,0.015,12.239,14.552,29.194,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2590,20.895,0.013,12.105,14.382,29.194,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2600,21.003,0.011,11.997,14.225,29.194,0.0,0,5,3,2,3,1,2,1,0,CLEARING_PATH
2610,21.097,0.009,11.903,14.08,29.194,0.0,0,5,2,2,3,1,1,1,0,CLEARING_PATH
2620,21.157,0.006,11.843,13.943,29.194,0.0,0,5,3,2,4,1,2,1,0,CLEARING_PATH
2630,21.188,0.003,11.812,13.818,29.194,0.0,0,5,3,2,4,1,2,1,0,CLEARING_PATH
2640,21.188,0.0,11.812,13.704,29.194,0.0,0,5,3,2,4,1,2,1,0,CLEARING_PATH
2650,21.159,-0.003,11.841,13.604,29.194,0.0,0,5,3,2,4,1,2,1,0,CLEARING_PATH
2660,21.091,-0.007,11.909,13.516,29.194,0.0,0,5,3,2,4,1,2,1,0,CLEARING_PATH
2670,20.989,-0.01,12.011,13.438,29.194,0.0,0,5,3,2,4,1,2,1,0,CLEARING_PATH
2680,20.872,-0.012,12.128,13.368,29.194,0.0,0,5,3,2,4,1,2,1,0,CLEARING_PATH
2690,20.743,-0.013,12.257,13.305,29.194,0.0,0,5,3,3,4,1,2,1,0,CLEARING_PATH
2700,20.59,-0.016,12.41,13.245,29.194,0.0,0,5,3,3,4,1,2,1,0,CLEARING_PATH
2710,20.396,-0.02,12.604,13.204,29.194,0.0,0,5,3,2,4,1,2,1,0,CLEARING_PATH
2720,20.353,0.005,12.647,13.233,29.194,0.0,0,5,3,3,4,1,2,1,0,CLEARING_PATH
2730,20.593,0.022,12.407,13.265,29.194,0.0,0,5,3,2,4,1,2,1,0,CLEARING_PATH
2740,20.822,0.023,12.178,13.301,29.194,0.0,0,5,3,1,4,1,2,1,0,CLEARING_PATH
2750,20.904,-0.002,12.096,13.344,29.194,0.0,0,5,3,1,4,1,2,1,0,CLEARING_PATH
2760,20.454,-0.04,12.546,13.393,30.2,0.0,0,5,3,1,4,1,2,1,0,CLEARING_PATH
2770,20.004,-0.045,12.996,13.443,30.2,0.0,0,5,3,0,4,0,3,1,0,CLEARING_PATH
2780,19.554,-0.045,13.446,13.492,30.2,0.0,0,5,3,0,4,0,3,1,0,CLEARING_PATH
2790,19.104,-0.045,13.896,11.282,31.207,0.012,1,6,3,0,4,0,3,1,0,CLEARING_PATH
2800,18.654,-0.045,14.346,11.315,31.207,0.028,1,6,3,0,4,0,3,1,0,CLEARING_PATH
2810,18.204,-0.045,14.796,11.348,31.207,0.045,1,6,3,0,4,0,3,1,0,CLEARING_PATH
2820,17.754,-0.045,15.246,11.381,31.207,0.0,0,6,2,0,4,0,2,1,0,CLEARING_PATH
2830,17.304,-0.045,15.696,11.409,31.207,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2840,16.887,-0.041,16.113,11.433,31.207,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2850,16.53,-0.035,16.47,11.45,31.207,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2860,16.233,-0.029,16.767,11.464,31.207,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2870,15.996,-0.023,17.004,11.473,31.207,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2880,15.819,-0.017,17.181,11.477,31.207,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2890,15.702,-0.011,17.298,11.48,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2900,15.645,-0.005,17.355,11.477,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2910,15.644,-0.0,17.356,11.465,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2920,15.675,0.003,17.325,11.449,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2930,15.737,0.006,17.263,11.429,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2940,15.828,0.009,17.172,11.424,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2950,15.95,0.012,17.05,11.424,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2960,16.101,0.015,16.899,11.423,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2970,16.283,0.018,16.717,11.425,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2980,16.494,0.021,16.506,11.431,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
2990,16.736,0.024,16.264,11.432,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
3000,17.007,0.027,15.993,11.434,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
3010,17.309,0.03,15.691,11.438,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
3020,17.64,0.033,15.36,11.446,32.214,0.0,0,6,1,0,4,0,1,0,0,CLEARING_PATH
3030,17.99,0.035,15.01,11.461,32.214,0.0,0,6,2,0,4,0,2,1,0,CLEARING_PATH
3040,18.34,0.035,14.66,11.47,32.214,0.0,0,6,2,0,4,0,2,1,0,CLEARING_PATH
3050,18.688,0.035,14.312,11.479,32.214,0.0,0,6,2,0,4,0,2,1,0,CLEARING_PATH
3060,18.635,-0.019,14.365,11.49,32.214,0.0,0,6,2,0,4,0,2,1,0,CLEARING_PATH
3070,18.185,-0.042,14.815,11.507,32.214,0.0,0,6,2,0,4,0,2,1,0,CLEARING_PATH
3080,17.735,-0.045,15.265,11.527,32.214,0.0,0,6,2,0,4,0,2,1,0,CLEARING_PATH
3090,17.285,-0.045,15.715,11.554,32.214,0.0,0,6,2,0,4,0,2,1,0,CLEARING_PATH
3100,16.835,-0.045,16.165,9.996,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
3110,16.385,-0.045,16.615,10.027,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
3120,15.935,-0.045,17.065,10.065,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
3130,15.485,-0.045,17.515,10.111,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
3140,15.035,-0.045,17.965,10.164,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
3150,15.0,-0.006,18.0,10.227,33.22,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
3160,15.0,-0.001,18.0,10.298,33.22,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3170,15.016,0.002,17.984,10.379,34.227,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3180,15.063,0.005,17.937,10.467,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3190,15.139,0.008,17.861,10.561,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3200,15.246,0.011,17.754,10.662,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3210,15.382,0.014,17.618,10.767,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3220,15.549,0.017,17.451,10.878,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3230,15.745,0.02,17.255,10.993,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3240,15.972,0.023,17.028,11.111,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3250,16.228,0.026,16.772,11.228,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3260,16.515,0.029,16.485,11.341,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3270,16.831,0.032,16.169,11.45,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3280,17.173,0.034,15.827,11.552,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3290,17.515,0.034,15.485,11.654,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3300,17.854,0.034,15.146,11.751,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3310,18.19,0.034,14.81,11.844,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3320,18.522,0.033,14.478,11.933,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3330,18.853,0.033,14.147,12.019,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3340,19.181,0.033,13.819,12.105,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3350,19.507,0.032,13.493,12.188,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3360,19.829,0.032,13.171,12.267,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3370,20.149,0.032,12.851,12.346,34.227,0.0,0,7,0,0,4,0,0,0,0,CRUISING
3380,20.465,0.032,12.535,12.424,34.227,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3390,20.776,0.031,12.224,12.499,35.234,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3400,21.083,0.031,11.917,12.569,35.234,0.0,0,7,1,1,4,0,1,0,0,CLEARING_PATH
3410,21.388,0.031,11.612,12.635,35.234,0.0,0,7,1,1,4,0,1,0,0,CLEARING_PATH
3420,21.688,0.03,11.312,12.696,35.234,0.0,0,7,1,1,4,0,1,0,0,CLEARING_PATH
3430,21.981,0.029,11.019,12.751,35.234,0.0,0,7,1,1,4,0,1,0,0,CLEARING_PATH
3440,22.27,0.029,10.73,12.799,35.234,0.0,0,7,1,1,4,0,1,0,0,CLEARING_PATH
3450,22.553,0.028,10.447,12.842,35.234,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3460,22.83,0.028,10.17,12.873,35.234,0.0,0,7,1,0,4,0,1,0,0,CLEARING_PATH
3470,23.086,0.026,9.914,12.896,35.234,0.0,0,7,2,1,5,1,1,0,0,CLEARING_PATH
3480,23.331,0.024,9.669,12.909,35.234,0.0,0,7,2,1,5,1,1,0,0,CLEARING_PATH
3490,23.563,0.023,9.437,12.919,35.234,0.0,0,7,2,1,5,1,1,0,0,CLEARING_PATH
3500,23.784,0.022,9.216,12.93,35.234,0.0,0,7,2,1,5,1,1,0,0,CLEARING_PATH
3510,23.994,0.021,9.006,12.935,35.234,0.0,0,7,2,1,5,1,1,0,0,CLEARING_PATH
3520,24.189,0.019,8.811,12.935,35.234,0.0,0,7,2,1,5,1,1,0,0,CLEARING_PATH
3530,24.366,0.018,8.634,12.932,35.234,0.0,0,7,2,1,5,1,1,1,0,CLEARING_PATH
3540,24.526,0.016,8.474,12.933,35.234,0.0,0,7,2,1,5,1,1,1,0,CLEARING_PATH
3550,24.671,0.014,8.329,12.938,35.234,0.0,0,7,2,1,5,1,1,1,0,CLEARING_PATH
3560,24.791,0.012,8.209,12.94,35.234,0.0,0,7,2,1,5,1,1,1,0,CLEARING_PATH
3570,24.893,0.01,8.107,12.941,35.234,0.0,0,7,2,0,5,0,2,1,0,CLEARING_PATH
3580,24.986,0.009,8.014,12.941,35.234,0.0,0,7,1,0,5,0,1,0,0,CLEARING_PATH
3590,25.069,0.008,7.931,12.943,36.24,0.0,0,7,1,0,5,0,1,0,0,CLEARING_PATH
