time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
2500,0.0,0.0,33.0,18.891,28.187,0.0,0,5,0,0,0,0,0,0,0,CRUISING
2510,19.265,0.535,13.735,18.809,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2520,19.554,0.083,13.446,18.709,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2530,19.838,0.034,13.162,18.603,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2540,20.115,0.028,12.885,18.497,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2550,20.383,0.027,12.617,18.394,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2560,20.622,0.024,12.378,18.291,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2570,20.846,0.022,12.154,18.186,29.194,0.0,0,5,2,1,1,1,1,0,0,CLEARING_PATH
2580,21.057,0.021,11.943,18.079,29.194,0.0,0,5,2,2,2,1,1,1,0,CLEARING_PATH
2590,21.251,0.019,11.749,17.973,29.194,0.0,0,5,2,2,2,1,1,1,0,CLEARING_PATH
2600,21.429,0.018,11.571,17.869,29.194,0.0,0,5,2,2,2,1,1,1,0,CLEARING_PATH
2610,21.59,0.016,11.41,17.768,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2620,21.744,0.015,11.256,17.664,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2630,21.89,0.015,11.11,17.56,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2640,22.02,0.013,10.98,17.459,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2650,22.141,0.012,10.859,17.36,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2660,22.194,0.006,10.806,17.262,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2670,22.233,0.004,10.767,17.163,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2680,22.252,0.002,10.748,17.064,29.194,0.0,0,5,2,1,2,0,2,1,0,CLEARING_PATH
2690,22.242,-0.001,10.758,16.967,29.194,0.0,0,5,3,1,3,0,3,1,0,CLEARING_PATH
2700,22.208,-0.004,10.792,16.868,29.194,0.0,0,5,3,1,3,0,3,1,0,CLEARING_PATH
2710,22.195,-0.001,10.805,14.039,30.2,0.0,0,6,3,1,3,0,3,1,0,CLEARING_PATH
2720,22.22,0.003,10.78,13.96,30.2,0.0,0,6,3,1,3,0,3,1,0,CLEARING_PATH
2730,22.276,0.006,10.724,13.882,30.2,0.0,0,6,3,1,3,0,3,1,0,CLEARING_PATH
2740,22.361,0.009,10.639,13.808,30.2,0.0,0,6,3,1,3,0,3,1,0,CLEARING_PATH
2750,22.476,0.012,10.524,13.736,30.2,0.0,0,6,3,1,3,0,3,1,0,CLEARING_PATH
2760,22.622,0.015,10.378,13.726,31.207,0.0,0,6,3,1,3,0,3,1,0,CLEARING_PATH
2770,22.797,0.018,10.203,13.733,31.207,0.0,0,6,3,1,3,0,3,1,0,CLEARING_PATH
2780,23.002,0.021,9.998,13.743,31.207,0.0,0,6,3,1,3,0,3,1,0,CLEARING_PATH
2790,23.238,0.024,9.762,13.756,31.207,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
2800,23.494,0.025,9.506,13.771,31.207,0.0,0,6,2,1,3,0,2,1,0,CLEARING_PATH
