time,ambulance_speed,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled
2500,0.0,17.657,28.187,0.0,0,5
2510,32.685,17.413,29.194,0.0,0,5
2520,32.235,17.141,29.194,0.0,0,5
2530,31.785,16.868,29.194,0.0,0,5
2540,31.335,16.595,29.194,0.0,0,5
2550,30.885,16.323,29.194,0.0,0,5
2560,30.435,16.052,29.194,0.0,0,5
2570,29.985,15.778,29.194,0.0,0,5
2580,29.535,15.504,29.194,0.0,0,5
2590,29.085,15.229,29.194,0.0,0,5
2600,28.635,14.956,29.194,0.0,0,5
2610,28.185,14.683,29.194,0.0,0,5
2620,27.735,14.41,29.194,0.0,0,5
2630,27.285,14.136,29.194,0.0,0,5
2640,26.835,13.861,29.194,0.0,0,5
2650,26.385,13.651,29.194,0.0,0,5
2660,25.935,13.569,29.194,0.0,0,5
2670,25.485,13.489,29.194,0.0,0,5
2680,25.035,11.267,30.2,0.0,0,6
2690,24.585,11.206,30.2,0.0,0,6
2700,24.135,11.136,30.2,0.0,0,6
2710,23.685,11.087,30.2,0.0,0,6
2720,23.235,11.043,30.2,0.0,0,6
2730,22.785,11.001,30.2,0.0,0,6
2740,22.335,10.961,30.2,0.0,0,6
2750,21.885,10.925,30.2,0.0,0,6
2760,21.435,10.889,31.207,0.0,0,6
2770,20.985,10.855,31.207,0.0,0,6
2780,20.535,10.821,31.207,0.0,0,6
2790,20.085,10.786,31.207,0.0,0,6
2800,19.635,10.799,31.207,0.0,0,6
2810,19.185,10.831,31.207,0.0,0,6
2820,18.97,10.818,31.207,0.0,0,6
2830,19.299,10.756,31.207,0.0,0,6
2840,19.625,10.733,31.207,0.0,0,6
2850,19.947,10.747,31.207,0.0,0,6
2860,20.265,10.777,31.207,0.0,0,6
2870,20.579,10.797,31.207,0.0,0,6
2880,20.889,10.808,31.207,0.0,0,6
2890,21.194,10.826,32.214,0.0,0,6
2900,21.494,10.847,32.214,0.0,0,6
2910,21.79,10.87,32.214,0.0,0,6
2920,22.082,10.894,32.214,0.0,0,6
2930,22.371,10.916,32.214,0.0,0,6
2940,22.656,10.938,32.214,0.0,0,6
2950,22.935,10.962,32.214,0.0,0,6
2960,23.209,10.986,32.214,0.0,0,6
2970,23.479,9.445,33.22,0.011,1,7
2980,23.744,9.465,33.22,0.026,1,7
2990,24.003,9.485,33.22,0.04,1,7
3000,24.257,9.507,33.22,0.054,1,7
3010,24.505,9.532,33.22,0.0,0,7
3020,24.748,9.562,33.22,0.0,0,7
3030,24.988,9.595,33.22,0.0,0,7
3040,25.222,9.631,33.22,0.0,0,7
3050,25.45,9.668,33.22,0.0,0,7
3060,25.672,9.706,33.22,0.0,0,7
3070,25.888,9.746,33.22,0.0,0,7
3080,26.102,9.786,33.22,0.0,0,7
3090,26.311,9.826,33.22,0.0,0,7
3100,26.516,9.867,33.22,0.0,0,7
3110,26.716,9.907,33.22,0.0,0,7
3120,26.908,9.948,33.22,0.0,0,7
3130,27.09,9.991,33.22,0.0,0,7
3140,27.262,10.034,33.22,0.0,0,7
3150,27.423,10.077,33.22,0.0,0,7
3160,27.575,10.119,33.22,0.0,0,7
3170,27.716,10.162,34.227,0.0,0,7
3180,27.845,10.207,34.227,0.0,0,7
3190,27.961,10.25,34.227,0.0,0,7
3200,28.062,10.292,34.227,0.0,0,7
3210,28.149,10.333,34.227,0.0,0,7
3220,28.221,10.372,34.227,0.0,0,7
3230,28.285,10.412,34.227,0.0,0,7
3240,28.339,10.452,34.227,0.0,0,7
3250,28.381,10.491,34.227,0.0,0,7
3260,28.405,10.529,34.227,0.0,0,7
3270,28.463,10.567,34.227,0.0,0,7
3280,28.625,10.605,34.227,0.0,0,7
3290,28.783,10.644,34.227,0.0,0,7
3300,28.936,10.682,35.234,0.0,0,7
3310,29.083,10.718,35.234,0.0,0,7
3320,29.226,10.753,35.234,0.0,0,7
3330,29.366,10.788,35.234,0.0,0,7
3340,29.501,10.821,35.234,0.0,0,7
3350,29.632,10.849,35.234,0.0,0,7
3360,29.758,10.874,35.234,0.0,0,7
3370,29.88,10.898,35.234,0.0,0,7
3380,30.0,10.92,35.234,0.0,0,7
3390,30.115,10.911,35.234,0.0,0,7
3400,30.225,10.879,35.234,0.0,0,7
3410,30.331,10.845,35.234,0.0,0,7
3420,30.434,10.809,35.234,0.0,0,7
3430,30.533,10.772,35.234,0.0,0,7
3440,30.628,10.735,35.234,0.0,0,7
3450,30.719,10.696,35.234,0.0,0,7
3460,30.807,10.656,35.234,0.0,0,7
3470,30.891,10.613,35.234,0.0,0,7
3480,30.973,10.57,35.234,0.0,0,7
3490,31.052,10.524,35.234,0.0,0,7
3500,31.128,10.476,35.234,0.0,0,7
3510,31.201,10.428,35.234,0.0,0,7
3520,31.272,10.377,35.234,0.0,0,7
3530,31.341,10.325,35.234,0.0,0,7
3540,31.407,10.27,35.234,0.0,0,7
3550,31.47,10.214,35.234,0.0,0,7
3560,31.53,10.156,35.234,0.0,0,7
3570,31.588,10.094,35.234,0.0,0,7
3580,31.644,8.938,36.24,0.0,0,8
3590,31.697,8.876,37.247,0.0,0,8
3600,31.747,8.815,37.247,0.0,0,8
3610,31.794,8.759,37.247,0.0,0,8
3620,31.839,8.704,37.247,0.0,0,8
3630,31.881,8.654,37.247,0.0,0,8
3640,31.92,8.606,37.247,0.0,0,8
3650,31.959,8.558,37.247,0.0,0,8
3660,31.994,8.51,37.247,0.0,0,8
3670,32.028,8.461,37.247,0.0,0,8
3680,32.059,8.414,37.247,0.0,0,8
3690,32.088,8.366,37.247,0.0,0,8
3700,32.114,8.318,37.247,0.0,0,8
3710,32.136,8.272,37.247,0.0,0,8
3720,32.146,8.233,37.247,0.0,0,8
3730,32.122,8.233,38.254,0.0,1,8
