time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
2500,0.0,0.0,33.0,18.698,28.187,0.0,0,5,0,0,0,0,0,0,0,CRUISING
2510,19.274,0.536,13.726,18.63,29.194,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2520,19.572,0.084,13.428,18.53,29.194,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2530,19.865,0.035,13.135,18.26,29.194,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2540,20.152,0.029,12.848,18.002,29.194,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2550,20.434,0.028,12.566,17.754,29.194,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2560,20.693,0.026,12.307,17.518,29.194,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2570,20.939,0.024,12.061,17.295,29.194,0.0,0,5,4,3,4,2,2,0,0,CLEARING_PATH
2580,21.17,0.023,11.83,17.083,29.194,0.0,0,5,4,3,4,2,2,1,0,CLEARING_PATH
2590,21.386,0.022,11.614,16.884,29.194,0.0,0,5,4,3,4,2,2,1,0,CLEARING_PATH
2600,21.589,0.02,11.411,16.696,29.194,0.0,0,5,4,3,4,2,2,1,0,CLEARING_PATH
2610,21.768,0.018,11.232,16.521,29.194,0.0,0,5,3,2,4,1,2,1,0,CLEARING_PATH
2620,21.921,0.015,11.079,16.362,29.194,0.0,0,5,3,2,4,1,2,1,0,CLEARING_PATH
2630,22.039,0.012,10.961,13.7,30.2,0.0,0,6,3,2,4,1,2,1,0,CLEARING_PATH
2640,22.11,0.007,10.89,13.589,30.2,0.0,0,6,3,2,4,1,2,1,0,CLEARING_PATH
2650,22.134,0.002,10.866,13.492,30.2,0.0,0,6,3,2,4,1,2,1,0,CLEARING_PATH
2660,22.212,0.007,10.788,13.409,30.2,0.0,0,6,3,2,4,1,2,1,0,CLEARING_PATH
2670,22.262,0.005,10.738,13.343,30.2,0.0,0,6,3,1,4,1,2,1,0,CLEARING_PATH
2680,22.262,-0.0,10.738,13.293,30.2,0.0,0,6,3,1,4,1,2,1,0,CLEARING_PATH
2690,22.194,-0.007,10.806,13.255,30.2,0.0,0,6,3,1,4,1,2,1,0,CLEARING_PATH
2700,22.038,-0.016,10.962,13.226,30.2,0.0,0,6,3,1,4,1,2,1,0,CLEARING_PATH
2710,22.052,0.001,10.948,13.203,30.2,0.0,0,6,3,1,4,1,2,1,0,CLEARING_PATH
2720,21.972,-0.016,11.028,13.187,30.2,0.0,0,6,3,1,4,1,2,1,0,CLEARING_PATH
2730,21.522,-0.042,11.478,13.173,30.2,0.0,0,6,3,1,4,1,2,1,0,CLEARING_PATH
2740,21.072,-0.045,11.928,13.155,30.2,0.0,0,6,3,1,4,1,2,1,0,CLEARING_PATH
2750,20.622,-0.045,12.378,13.127,30.2,0.0,0,6,3,1,4,1,2,1,0,CLEARING_PATH
2760,20.172,-0.045,12.828,13.091,31.207,0.0,0,6,3,1,4,0,3,1,0,CLEARING_PATH
2770,19.722,-0.045,13.278,13.044,31.207,0.0,0,6,3,1,4,0,3,1,0,CLEARING_PATH
2780,19.272,-0.045,13.728,12.986,31.207,0.0,0,6,3,2,4,0,3,1,0,CLEARING_PATH
2790,18.822,-0.045,14.178,12.915,31.207,0.0,0,6,3,2,4,0,3,1,0,CLEARING_PATH
2800,18.372,-0.045,14.628,12.834,31.207,0.0,0,6,3,2,4,0,3,1,0,CLEARING_PATH
2810,17.922,-0.045,15.078,12.743,31.207,0.0,0,6,3,1,4,0,3,1,0,CLEARING_PATH
2820,17.472,-0.045,15.528,12.652,31.207,0.0,0,6,3,0,4,0,3,1,0,CLEARING_PATH
2830,17.022,-0.045,15.978,12.609,31.207,0.0,0,6,3,0,4,0,3,1,0,CLEARING_PATH
