time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
250,0.0,0.0,33.0,18.08,27.18,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
260,20.35,0.676,12.65,18.019,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
270,22.817,0.284,10.183,17.966,29.194,0.0,0,5,0,0,0,0,0,0,0,NO_CONTROL
280,24.412,0.156,8.588,15.296,31.207,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
290,24.846,0.037,8.154,15.573,32.214,0.0,0,6,0,0,0,0,0,0,0,NO_CONTROL
300,24.102,-0.071,8.898,13.919,33.22,0.0,0,7,0,0,0,0,0,0,0,NO_CONTROL
310,23.066,-0.101,9.934,14.446,33.22,0.0,0,7,0,0,0,0,0,0,0,NO_CONTROL
320,21.919,-0.114,11.081,14.935,35.234,0.0,0,7,0,0,0,0,0,0,0,NO_CONTROL
330,20.733,-0.12,12.267,15.393,35.234,0.0,0,7,0,0,0,0,0,0,0,NO_CONTROL
340,19.761,-0.095,13.239,14.073,36.24,0.0,0,8,0,0,0,0,0,0,0,NO_CONTROL
350,19.168,-0.056,13.832,14.563,36.24,0.0,0,8,0,0,0,0,0,0,0,NO_CONTROL
360,18.886,-0.029,14.114,15.152,38.254,0.0,0,8,0,0,0,0,0,0,0,NO_CONTROL
370,18.615,-0.029,14.385,15.681,38.254,0.0,0,8,0,0,0,0,0,0,0,NO_CONTROL
380,18.318,-0.027,14.682,16.188,40.267,0.0,0,8,0,0,0,0,0,0,0,NO_CONTROL
390,17.87,-0.048,15.13,16.604,40.267,0.0,0,8,0,0,0,0,0,0,0,NO_CONTROL
400,17.444,-0.045,15.556,17.232,42.28,0.0,0,9,0,0,0,0,0,0,0,NO_CONTROL
410,17.098,-0.033,15.902,17.522,43.287,0.0,0,9,0,0,0,0,0,0,0,NO_CONTROL
420,16.665,-0.041,16.335,17.746,44.294,0.0,0,9,0,0,0,0,0,0,0,NO_CONTROL
430,16.499,-0.006,16.501,18.014,45.3,0.0,0,10,0,0,0,0,0,0,0,NO_CONTROL
440,16.454,-0.008,16.546,17.906,47.314,0.0,0,10,0,0,0,0,0,0,0,NO_CONTROL
450,16.278,-0.019,16.722,17.631,47.314,0.0,0,10,0,0,0,0,0,0,0,NO_CONTROL
460,16.199,-0.013,16.801,16.933,49.327,0.0,0,10,0,0,0,0,0,0,0,NO_CONTROL
470,16.021,-0.014,16.979,16.185,50.334,0.0,0,10,0,0,0,0,0,0,0,NO_CONTROL
480,16.148,0.013,16.852,15.114,52.347,0.0,0,11,0,0,0,0,0,0,0,NO_CONTROL
490,16.296,0.014,16.704,14.962,52.347,0.0,0,11,0,0,0,0,0,0,0,NO_CONTROL
500,16.641,0.036,16.359,15.085,54.36,0.0,0,11,0,0,0,0,0,0,0,NO_CONTROL
510,16.728,0.009,16.272,14.979,56.374,0.067,2,12,0,0,0,0,0,0,0,NO_CONTROL
520,16.762,0.003,16.238,14.962,56.374,0.15,1,12,0,0,0,0,0,0,0,NO_CONTROL
530,16.672,-0.011,16.328,15.054,56.374,0.233,1,12,0,0,0,0,0,0,0,NO_CONTROL
540,16.679,0.004,16.321,15.219,57.38,0.317,1,12,0,0,0,0,0,0,0,NO_CONTROL
550,16.645,-0.006,16.355,15.392,58.387,0.4,1,12,0,0,0,0,0,0,0,NO_CONTROL
560,16.56,-0.009,16.44,14.546,60.4,0.446,1,13,0,0,0,0,0,0,0,NO_CONTROL
570,16.566,0.001,16.434,14.889,61.407,0.523,1,13,0,0,0,0,0,0,0,NO_CONTROL
580,16.528,0.001,16.472,15.212,62.414,0.6,1,13,0,0,0,0,0,0,0,NO_CONTROL
590,16.69,0.011,16.31,14.82,63.42,0.629,1,14,0,0,0,0,0,0,0,NO_CONTROL
600,16.802,0.013,16.198,15.098,64.427,0.7,1,14,0,0,0,0,0,0,0,NO_CONTROL
610,16.861,0.008,16.139,15.346,67.447,0.771,1,14,0,0,0,0,0,0,0,NO_CONTROL
620,16.741,-0.014,16.259,15.602,67.447,0.843,1,14,0,0,0,0,0,0,0,NO_CONTROL
630,16.698,-0.006,16.302,14.926,68.454,0.853,1,15,0,0,0,0,0,0,0,NO_CONTROL
640,16.714,0.001,16.286,15.239,68.454,0.92,1,15,0,0,0,0,0,0,0,NO_CONTROL
650,16.773,0.005,16.227,15.553,69.461,0.987,1,15,0,0,0,0,0,0,0,NO_CONTROL
660,16.896,0.009,16.104,15.773,69.461,1.053,2,15,0,0,0,0,0,0,0,NO_CONTROL
670,16.906,-0.001,16.094,15.806,71.474,1.12,2,15,0,0,0,0,0,0,0,NO_CONTROL
680,16.771,-0.015,16.229,15.66,72.481,1.187,3,15,0,0,0,0,0,0,0,NO_CONTROL
