time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
250,0.0,0.0,33.0,18.048,28.187,0.0,0,5,0,0,0,0,0,0,0,CRUISING
260,20.824,0.66,12.176,17.441,29.194,0.0,0,5,3,2,2,2,1,0,0,CLEARING_PATH
270,20.185,-0.02,12.815,14.075,30.2,0.0,0,6,4,1,3,0,4,1,0,CLEARING_PATH
280,17.14,-0.362,15.86,14.041,31.207,0.0,0,6,4,1,3,0,4,1,0,CLEARING_PATH
290,13.66,-0.331,19.34,13.741,32.214,0.0,0,6,3,0,3,1,2,1,0,CLEARING_PATH
300,11.128,-0.247,21.872,13.998,32.214,0.0,0,6,2,0,3,1,1,1,0,CLEARING_PATH
310,10.094,-0.051,22.906,12.029,33.22,0.0,0,7,2,0,3,0,2,2,0,CLEARING_PATH
320,13.375,0.258,19.625,12.509,34.227,0.0,0,7,1,0,3,0,1,1,0,CLEARING_PATH
330,15.0,0.137,18.0,13.246,34.227,0.0,0,7,1,0,3,0,1,1,0,CLEARING_PATH
340,15.18,0.046,17.82,13.758,35.234,0.0,0,7,0,0,3,0,0,0,0,CRUISING
350,17.676,0.268,15.324,14.128,35.234,0.0,0,7,0,0,3,0,0,0,0,CRUISING
360,21.007,0.32,11.993,12.933,37.247,0.0,0,8,0,0,3,0,0,0,0,CRUISING
370,23.875,0.282,9.125,13.309,37.247,0.0,0,8,0,0,3,0,0,0,0,CRUISING
380,26.1,0.219,6.9,13.759,39.26,0.0,0,8,0,0,3,0,0,0,0,CRUISING
390,27.683,0.155,5.317,14.168,40.267,0.0,0,8,1,0,3,0,1,0,0,CLEARING_PATH
400,28.58,0.084,4.42,15.016,41.274,0.0,0,9,1,0,3,0,1,0,0,CLEARING_PATH
410,28.128,-0.076,4.872,15.248,42.28,0.0,0,9,2,1,4,1,1,0,0,CLEARING_PATH
420,25.564,-0.229,7.436,15.35,42.28,0.0,0,9,2,0,4,0,2,0,0,CLEARING_PATH
430,26.242,0.087,6.758,15.767,44.294,0.0,0,10,2,1,5,0,2,1,0,CLEARING_PATH
440,26.877,-0.053,6.123,15.605,46.307,0.0,0,10,2,0,5,0,2,2,0,CLEARING_PATH
450,23.157,-0.342,9.843,15.34,47.314,0.0,0,10,0,0,5,0,0,0,0,CRUISING
460,22.857,0.005,10.143,14.584,48.32,0.0,0,10,0,0,5,0,0,0,0,CRUISING
470,25.241,0.217,7.759,13.884,50.334,0.0,0,10,0,0,5,0,0,0,0,CRUISING
480,27.277,0.197,5.723,13.31,50.334,0.0,0,10,0,0,5,0,0,0,0,CRUISING
490,28.719,0.14,4.281,12.951,51.34,0.0,0,10,0,0,5,0,0,0,0,CRUISING
500,28.99,-0.011,4.01,12.936,52.347,0.0,0,10,1,1,6,1,0,0,0,CLEARING_PATH
510,24.885,-0.387,8.115,12.806,54.36,0.0,0,11,1,0,6,0,1,0,0,CLEARING_PATH
520,23.972,-0.047,9.028,11.77,54.36,0.0,0,11,1,0,6,0,1,0,0,CLEARING_PATH
530,26.108,0.195,6.892,10.531,56.374,0.0,0,12,1,0,6,0,1,1,0,CLEARING_PATH
540,24.934,-0.225,8.066,10.3,56.374,0.0,0,12,0,0,6,0,0,0,0,CRUISING
550,24.154,-0.018,8.846,10.463,58.387,0.0,0,12,0,0,6,0,0,0,0,CRUISING
560,26.171,0.18,6.829,10.673,60.4,0.0,1,12,1,0,7,0,1,0,0,CLEARING_PATH
570,27.735,0.149,5.265,10.868,60.4,0.083,3,12,0,0,7,0,0,0,0,CRUISING
580,28.133,0.014,4.867,10.791,62.414,0.154,4,13,1,1,8,1,0,0,0,CLEARING_PATH
590,25.898,-0.225,7.102,11.186,63.42,0.231,4,13,1,0,8,0,1,0,0,CLEARING_PATH
600,26.231,0.062,6.769,11.552,64.427,0.308,5,13,1,0,8,0,1,0,0,CLEARING_PATH
610,27.791,0.137,5.209,10.979,66.441,0.357,5,14,1,0,8,0,1,1,0,CLEARING_PATH
620,27.071,-0.081,5.929,10.9,68.454,0.429,5,14,1,1,9,1,0,0,0,CLEARING_PATH
630,26.364,-0.118,6.636,11.015,70.467,0.5,5,14,1,0,9,0,1,0,0,CLEARING_PATH
640,24.126,-0.211,8.874,11.182,70.467,0.571,5,14,4,0,9,2,2,0,0,CLEARING_PATH
650,20.598,-0.367,12.402,11.084,70.467,0.643,5,14,4,0,9,2,2,0,0,CLEARING_PATH
660,16.114,-0.441,16.886,10.622,72.481,0.0,5,14,4,0,9,2,2,1,7,INTERSECTION_CONTROL
670,11.672,-0.437,21.328,10.942,71.474,0.0,5,13,3,0,9,1,2,2,17,INTERSECTION_CONTROL
680,9.626,-0.191,23.374,10.538,72.481,0.0,6,13,3,0,9,1,2,2,27,INTERSECTION_CONTROL
690,9.32,-0.028,23.68,9.602,73.487,0.064,7,14,1,0,9,0,1,1,37,INTERSECTION_CONTROL
700,9.934,0.059,23.066,0.0,92.678,0.0,0,0,1,1,10,1,0,0,43,CLEARING_PATH
710,7.838,-0.146,25.162,0.0,46.339,0.0,0,0,0,0,10,0,0,0,43,CRUISING
720,8.679,0.103,24.321,0.0,46.339,0.0,0,0,0,0,10,0,0,0,43,CRUISING
730,11.882,0.299,21.118,9.804,68.747,4.517,11,6,4,0,12,2,2,1,43,CLEARING_PATH
740,14.888,0.317,18.112,9.937,68.747,4.783,12,6,4,0,12,0,4,2,43,CLEARING_PATH
750,15.84,0.152,17.16,10.084,75.4,5.117,13,6,3,0,13,0,3,1,43,CLEARING_PATH
760,19.104,0.321,13.896,10.121,79.835,5.45,14,6,1,0,13,0,1,1,43,CLEARING_PATH
770,15.204,-0.269,17.796,9.705,84.27,5.783,14,6,0,0,13,0,0,0,43,CRUISING
780,15.564,0.054,17.436,8.824,84.27,6.117,15,6,0,0,13,0,0,0,43,CRUISING
790,18.627,0.298,14.373,7.965,88.706,6.45,16,6,0,0,13,0,0,0,43,CRUISING
800,21.815,0.313,11.185,7.26,88.706,6.783,16,6,0,0,13,0,0,0,43,CRUISING
810,24.642,0.28,8.358,6.815,93.141,7.117,16,6,0,0,13,0,0,0,43,CRUISING
820,26.942,0.227,6.058,6.585,95.358,7.467,17,6,0,0,13,0,0,0,43,CRUISING
830,28.759,0.179,4.241,6.503,97.576,7.967,17,6,0,0,13,0,0,0,43,CRUISING
840,30.127,0.135,2.873,6.276,97.576,8.467,18,6,1,0,13,0,1,0,43,CLEARING_PATH
850,31.124,0.099,1.876,5.673,99.794,8.967,18,6,1,0,13,0,1,0,43,CLEARING_PATH
860,31.694,0.052,1.306,4.981,102.011,8.114,18,7,1,0,13,0,1,0,43,CLEARING_PATH
870,31.058,-0.078,1.942,4.077,104.229,8.543,18,7,1,1,14,0,1,1,43,CLEARING_PATH
880,28.604,-0.258,4.396,3.633,108.664,7.85,19,8,1,1,14,0,1,1,43,CLEARING_PATH
890,24.374,-0.418,8.626,3.086,110.882,8.225,20,8,2,0,14,1,1,0,43,CLEARING_PATH
900,19.882,-0.446,13.118,3.031,113.1,8.6,21,8,2,0,14,1,1,0,45,INTERSECTION_CONTROL
910,15.382,-0.45,17.618,3.194,115.317,8.975,21,8,2,0,14,1,1,1,55,INTERSECTION_CONTROL
920,10.85,-0.45,22.15,3.463,113.1,9.438,23,8,1,0,14,0,1,1,65,INTERSECTION_CONTROL
930,7.907,-0.282,25.093,3.697,115.317,10.062,23,8,1,0,14,0,1,1,75,INTERSECTION_CONTROL
940,6.722,-0.105,26.278,3.922,115.317,10.688,23,8,0,0,14,0,0,0,85,INTERSECTION_CONTROL
950,6.709,-0.034,26.291,0.0,69.517,0.0,0,0,1,0,15,1,0,0,86,CLEARING_PATH
960,6.583,-0.013,26.417,0.0,69.517,0.0,0,0,1,0,15,1,0,0,86,CLEARING_PATH
970,6.655,0.004,26.345,0.0,34.758,0.0,0,0,0,0,15,0,0,0,86,CRUISING
980,6.772,0.009,26.228,0.0,34.758,0.0,0,0,0,0,15,0,0,0,86,CRUISING
990,6.787,0.008,26.213,14.7,68.06,0.0,0,12,2,0,15,1,1,1,86,CLEARING_PATH
1000,6.975,0.01,26.025,14.947,65.585,0.0,0,12,2,0,15,1,1,1,86,CLEARING_PATH
1010,7.059,0.01,25.941,15.17,65.585,0.0,0,12,2,0,16,1,1,1,86,CLEARING_PATH
1020,7.125,0.003,25.875,14.761,66.823,0.0,0,13,2,0,16,1,1,1,86,CLEARING_PATH
