time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
250,0.0,0.0,33.0,18.372,28.187,0.0,0,5,0,0,0,0,0,0,0,CRUISING
260,21.078,0.689,11.922,17.626,29.194,0.0,0,5,3,2,2,2,1,0,0,CLEARING_PATH
270,20.817,-0.004,12.183,13.977,30.2,0.0,0,6,4,2,4,1,3,1,0,CLEARING_PATH
280,18.756,-0.241,14.244,13.574,31.207,0.0,0,6,3,1,4,1,2,1,0,CLEARING_PATH
290,15.381,-0.318,17.619,11.316,33.22,0.0,0,7,3,1,4,1,2,1,0,CLEARING_PATH
300,12.594,-0.277,20.406,11.251,33.22,0.0,0,7,4,0,4,1,3,1,0,CLEARING_PATH
310,10.797,-0.115,22.203,11.939,33.22,0.0,0,7,3,0,4,0,3,2,0,CLEARING_PATH
320,14.132,0.257,18.868,12.98,35.234,0.0,0,7,2,0,4,0,2,1,0,CLEARING_PATH
330,16.053,0.144,16.947,13.727,35.234,0.0,0,7,2,0,4,0,2,2,0,CLEARING_PATH
340,15.3,0.031,17.7,12.529,36.24,0.0,0,8,1,0,4,0,1,1,0,CLEARING_PATH
350,18.051,0.285,14.949,12.831,37.247,0.0,1,8,1,0,4,0,1,1,0,CLEARING_PATH
360,14.151,-0.273,18.849,13.084,38.254,0.0,0,8,0,0,4,0,0,0,0,CRUISING
370,14.511,0.054,18.489,13.41,38.254,0.0,0,8,0,0,4,0,0,0,0,CRUISING
380,17.581,0.299,15.419,13.83,40.267,0.0,0,8,0,0,4,0,0,0,0,CRUISING
390,20.8,0.315,12.2,14.345,40.267,0.0,0,8,0,0,4,0,0,0,0,CRUISING
400,23.621,0.279,9.379,15.268,42.28,0.0,0,9,1,0,4,0,1,0,0,CLEARING_PATH
410,25.984,0.234,7.016,15.708,44.294,0.0,0,9,1,0,4,0,1,0,0,CLEARING_PATH
420,27.79,0.179,5.21,16.105,44.294,0.0,0,9,0,0,4,0,0,0,0,CRUISING
430,29.041,0.121,3.959,16.476,46.307,0.0,0,10,0,0,4,0,0,0,0,CRUISING
440,29.727,0.065,3.273,16.685,47.314,0.0,0,10,0,0,4,0,0,0,0,CRUISING
450,29.316,-0.057,3.684,16.778,48.32,0.0,0,10,1,1,5,1,0,0,0,CLEARING_PATH
