time,ambulance_speed,acceleration,speed_loss,avg_speed,density,avg_waiting_time,queue_length,vehicles_sampled,vehicles_in_radius,vehicles_cleared,cumulative_vehicles_cleared,same_lane_density,adjacent_lane_density,close_adjacent_vehicles,intersection_delay,controller_state
2500,0.0,0.0,33.0,16.594,29.194,0.0,0,6,0,0,0,0,0,0,0,CRUISING
2510,18.87,0.503,14.13,16.549,30.2,0.0,0,6,4,3,3,2,2,0,0,CLEARING_PATH
2520,18.833,0.051,14.167,16.491,30.2,0.0,0,6,4,3,3,2,2,0,0,CLEARING_PATH
2530,18.784,0.001,14.216,16.437,30.2,0.0,0,6,4,3,3,2,2,0,0,CLEARING_PATH
2540,18.721,-0.006,14.279,16.389,30.2,0.0,0,6,4,3,3,2,2,0,0,CLEARING_PATH
2550,18.646,-0.007,14.354,16.318,30.2,0.0,0,6,4,3,3,2,2,0,0,CLEARING_PATH
2560,18.559,-0.009,14.441,16.229,30.2,0.0,0,6,4,3,3,2,2,0,0,CLEARING_PATH
2570,18.461,-0.01,14.539,16.124,30.2,0.0,0,6,4,3,3,2,2,0,0,CLEARING_PATH
2580,18.352,-0.011,14.648,16.005,30.2,0.0,0,6,4,3,3,2,2,0,0,CLEARING_PATH
2590,18.232,-0.012,14.768,15.888,30.2,0.0,0,6,4,3,3,2,2,0,0,CLEARING_PATH
2600,18.103,-0.013,14.897,15.77,30.2,0.0,0,6,4,3,3,2,2,0,0,CLEARING_PATH
2610,17.963,-0.014,15.037,15.641,30.2,0.0,0,6,4,2,3,1,3,0,0,CLEARING_PATH
2620,17.814,-0.015,15.186,15.501,30.2,0.0,0,6,4,2,3,1,3,0,0,CLEARING_PATH
2630,17.657,-0.016,15.343,15.345,30.2,0.0,0,6,4,2,3,1,3,0,0,CLEARING_PATH
2640,17.49,-0.017,15.51,15.217,30.2,0.0,0,6,4,1,3,1,3,0,0,CLEARING_PATH
2650,17.316,-0.018,15.684,15.093,30.2,0.0,0,6,4,1,3,1,3,0,0,CLEARING_PATH
2660,17.133,-0.018,15.867,14.971,30.2,0.0,0,6,4,1,3,1,3,0,0,CLEARING_PATH
2670,16.943,-0.019,16.057,14.848,30.2,0.0,0,6,4,1,3,1,3,1,0,CLEARING_PATH
2680,16.745,-0.02,16.255,12.63,31.207,0.009,1,7,4,1,3,1,3,1,0,CLEARING_PATH
2690,16.541,-0.02,16.459,12.529,31.207,0.023,1,7,4,1,3,1,3,1,0,CLEARING_PATH
2700,16.329,-0.021,16.671,12.433,31.207,0.037,1,7,4,1,3,1,3,1,0,CLEARING_PATH
2710,16.112,-0.022,16.888,12.339,31.207,0.051,1,7,4,1,3,1,3,1,0,CLEARING_PATH
2720,15.887,-0.022,17.113,12.251,31.207,0.066,1,7,4,2,4,2,2,1,0,CLEARING_PATH
2730,15.657,-0.023,17.343,12.171,31.207,0.0,0,7,4,2,4,2,2,1,0,CLEARING_PATH
2740,15.421,-0.024,17.579,12.099,31.207,0.0,0,7,4,2,4,2,2,1,0,CLEARING_PATH
2750,15.18,-0.024,17.82,12.032,31.207,0.0,0,7,4,3,4,2,2,1,0,CLEARING_PATH
2760,15.0,-0.014,18.0,11.969,32.214,0.0,0,7,4,3,4,2,2,1,0,CLEARING_PATH
2770,15.0,-0.001,18.0,11.909,32.214,0.0,0,7,4,3,4,2,2,1,0,CLEARING_PATH
2780,15.0,-0.0,18.0,11.855,32.214,0.0,0,7,4,3,4,2,2,1,0,CLEARING_PATH
2790,15.0,-0.0,18.0,11.808,32.214,0.0,0,7,4,3,4,2,2,1,0,CLEARING_PATH
2800,15.0,-0.0,18.0,11.804,32.214,0.0,0,7,4,2,4,2,2,1,0,CLEARING_PATH
2810,15.0,-0.0,18.0,11.808,32.214,0.0,0,7,4,2,4,2,2,1,0,CLEARING_PATH
2820,15.0,-0.0,18.0,11.821,32.214,0.0,0,7,4,2,4,2,2,1,0,CLEARING_PATH
2830,15.0,-0.0,18.0,11.821,32.214,0.0,0,7,4,2,4,2,2,1,0,CLEARING_PATH
2840,15.0,-0.0,18.0,11.834,32.214,0.0,0,7,4,2,4,2,2,1,0,CLEARING_PATH
2850,15.0,-0.0,18.0,11.85,32.214,0.0,0,7,4,2,4,2,2,1,0,CLEARING_PATH
2860,15.0,-0.0,18.0,11.868,32.214,0.0,0,7,4,1,4,1,3,1,0,CLEARING_PATH
2870,15.0,-0.0,18.0,11.886,32.214,0.0,0,7,4,1,4,1,3,1,0,CLEARING_PATH
2880,15.0,-0.0,18.0,11.906,32.214,0.0,0,7,3,1,4,1,2,1,0,CLEARING_PATH
2890,15.0,-0.0,18.0,11.928,33.22,0.0,0,7,3,1,4,1,2,1,0,CLEARING_PATH
2900,15.0,-0.0,18.0,11.951,33.22,0.0,0,7,3,1,4,1,2,1,0,CLEARING_PATH
2910,15.0,-0.0,18.0,11.978,33.22,0.0,0,7,3,1,4,1,2,1,0,CLEARING_PATH
2920,15.0,-0.0,18.0,12.008,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2930,14.82,-0.027,18.18,12.041,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2940,14.37,-0.043,18.63,12.075,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2950,13.92,-0.045,19.08,12.111,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2960,13.47,-0.045,19.53,12.147,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2970,13.02,-0.045,19.98,12.123,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2980,12.57,-0.045,20.43,12.013,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
2990,12.12,-0.045,20.88,11.907,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
3000,11.67,-0.045,21.33,11.802,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
3010,11.22,-0.045,21.78,11.722,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
3020,10.77,-0.045,22.23,11.736,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
3030,10.32,-0.045,22.68,11.739,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
3040,9.87,-0.045,23.13,11.734,33.22,0.0,0,7,3,0,4,0,3,1,0,CLEARING_PATH
